change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,laserfiche__457566__minutes,2020-08-07,2020,laserfiche,minutes,special,08-07-2020 Special Meeting minutes
added,laserfiche__456427__minutes,2020-08-04,2020,laserfiche,minutes,regular,08-04-2020 Minutes
added,destinyhosted__20200804_143/AGENDApacket__08-04-20_0934_142.pdf__agenda_packet,2020-08-04,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__455603__minutes,2020-07-28,2020,laserfiche,minutes,regular,07-28-2020 Minutes
added,destinyhosted__20200728_132/AGENDApacket__07-28-20_0332_131.pdf__agenda_packet,2020-07-28,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__454950__minutes,2020-07-14,2020,laserfiche,minutes,regular,07-14-2020 Minutes
added,destinyhosted__20200714_131/AGENDApacket__07-14-20_0246_130.pdf__agenda_packet,2020-07-14,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__453316__minutes,2020-07-07,2020,laserfiche,minutes,regular,07-07-2020 minutes
added,destinyhosted__20200707_128/AGENDApacket__07-07-20_0259_127.pdf__agenda_packet,2020-07-07,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__452312__minutes,2020-06-23,2020,laserfiche,minutes,other,06-23-2020 Mnutes
added,destinyhosted__20200623_127/AGENDApacket__06-23-20_0445_126.pdf__agenda_packet,2020-06-23,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__450373__minutes,2020-06-09,2020,laserfiche,minutes,regular,06-09-2020 Minutes
added,destinyhosted__20200609_126/AGENDApacket__06-09-20_0307_125.pdf__agenda_packet,2020-06-09,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__448096__minutes,2020-06-02,2020,laserfiche,minutes,regular,06-02-2020 Minutes
